W,t,B,S,TM,ymale
60,24,16,30.8,11,1
60,60,9,30.8,33,1
60,300,7,30.8,105,1
42,14,29,27.2,8,0
63,19,19,20.8,9,1
63,33,13,20.8,33,1
63,450,7,20.8,89,1
68,16,23,19.3,10,1
68,56,9,19.3,39,1
68,131,6,19.3,49,1
68,300,8,19.3,98,1
73,12,23,18.5,18,1
73,55,12,18.5,78,1
68,20,25,13.2,21,1
68,36,13,13.2,79,1
68,105,5,13.2,73,1
68,345,6,13.2,91,1
58,10,31,12.2,12,1
58,29,16,12.2,55,1
73,23,28,12,38,1
73,77,7,12,66,1
73,170,6,12,56,1
73,10,23,11.6,24,1
73,25,12,11.6,99,1
67,10,38,7.8,16,1
67,21,28,7.8,41,1
67,560,9,7.8,98,1
68,25,26,6.4,31,1
68,46,10,6.4,46,1
68,200,9,6.4,60,1
57,6,22,6,38,1
57,17,15,6,69,1
57,290,13,6,44,1
57,24,21,3.8,8,0
57,79,8,3.8,94,0
57,444,9,3.8,52,0
85,34,15,5.4,37,1
85,77,8,5.4,36,1
85,135,7,5.4,63,1
66,19,12,4.8,28,1
66,60,8,4.8,71,1
69,25,38,3.7,45,0
69,45,22,3.7,85,0
69,250,10,3.7,47,0
62,33,22,3.6,36,1
62,47,14,3.6,47,1
64,19,11,2.9,34,1
64,49,10,2.9,70,1
67,9,20,2.8,33,1
67,18,15,2.8,65,1
67,175,8,2.8,87,1
79,18,30,2.4,54,1
79,39,23,2.4,33,1
79,280,15,2.4,31,1
39,14,22,15.4,26,0
39,31,13,15.4,31,0
62,20,8,4,20,0
62,60,6,4,59,0
46,18,17,2.3,9,0
46,31,12,2.3,34,0
