x,y
20.64,176.58
26.91,159.07
26.91,122.41
28.02,128.32
32.44,125.77
34.28,126.81
35.76,147.77
36.49,117.29
38.71,133.49
39.44,128.87
39.81,110.04
40.92,111.15
42.76,134.12
43.5,99.94
45.34,128.7
45.71,152.17
46.82,100.36
47.18,123.32
47.92,114.44
48.66,131.27
53.45,115.12
55.66,95.52
59.35,94.94
59.72,119.28
63.04,93.64
67.09,85.73
68.93,89.26
69.3,88.55
73.36,76.81
80.73,76.63
89.58,90.53
95.47,71.28
98.05,56.61
98.42,75.09
102.48,65.26
105.8,64.48
106.53,61.84
108.75,65.19
115.38,57.1
150.77,52.68
152.24,47.01
155.19,44.28
