x,y
23.48,223.02
26.22,234.24
27.79,221.68
32.88,221.94
33.27,197.45
36.79,189.64
37.58,211.2
37.58,191.36
41.49,156.62
42.66,168.12
44.23,197.89
44.23,154.14
51.67,153.26
55.58,142.79
55.58,126.17
57.93,167.95
58.71,144.54
59.5,151.3
60.67,130.52
62.63,125.3
67.71,114.05
70.06,116.31
20.45,120.71
73.98,134.16
73.98,114.48
78.67,91.17
95.9,101.27
96.68,97.33
96.68,101.37
101.38,97.2
103.72,87.12
104.51,81.71
105.68,76.44
108.03,87.1
117.82,84.54
127.21,69.09
134.26,64.4
137.39,66.81
151.87,63.01
163.61,55.45
166.35,62.54
184.75,54.68
