x,y
22.3,148.57
25.86,125.3
29.09,150.69
29.74,147.42
31.68,117.1
31.68,116.64
32,129.66
32.32,131.54
32.32,151.5
34.91,121.8
35.23,125.67
38.47,117.78
39.44,101.5
41.05,113.22
41.7,136.43
44.28,117.54
45.9,87.2
46.55,107.41
48.16,129.68
48.49,104.63
48.81,114.15
49.78,99.85
50.43,111.65
51.72,98.09
61.42,87.85
65.29,75.45
67.23,87.01
71.44,90.1
73.05,81.08
86.63,65.33
96,58.49
98.91,65.67
103.44,67.19
105.05,54.01
111.19,60.92
113.78,53.48
119.92,61.62
126.71,61.21
138.99,41.67
146.75,45.26
160.97,46.45
