x,y
18.78,272.15
21.25,235.23
23.23,180.47
27.18,177.31
30.15,141.28
31.63,169.39
32.12,138.17
32.62,171.81
32.62,112.02
33.61,156.09
37.07,137.29
38.55,154.1
39.54,124.17
39.54,146.28
41.02,105.47
42.5,139.24
43.98,148.31
45.47,110.44
49.92,90.72
50.9,102.61
53.87,107.36
57.82,92.66
61.78,96.52
61.78,94.71
63.75,99.86
67.71,93.37
71.66,89.78
77.59,69.34
80.56,73.74
86.49,75.17
88.46,72.98
89.45,79.94
90.93,79.13
92.91,70.93
101.81,60.99
103.78,74.09
115.15,49.45
123.06,56.65
144.31,47.84
155.68,40.03
158.15,38.7
