Prediction Metric Name,Units,Metric Explanation
waterid,Reach ID Number,Reach ID Number
concentration,mg/L,Flow-weighted concentration based on decayed total load and mean discharge
yield_total,kg/ha/year,Total yield (fully decayed)
yield_demiarea,kg/ha/year,Total source yield (fully decayed)
myield_total,kg/ha/year,Monitoring-adjusted (conditional) total yield (fully decayed)
myield_demiarea,kg/ha/year,Monitoring-adjusted (conditional) total source yield (fully decayed)
yield_inc,kg/ha/year,Total incremental yield delivered to reach (with one-half of reach decay)
yield_inc_demiarea,kg/ha/year,Total incremental source yield delivered to reach (with one-half of reach decay)
yield_inc_deliv,kg/ha/year,Total incremental yield delivered to terminal reach
yield_inc_demiarea_deliv,kg/ha/year,Total incremental source yield delivered to terminal reach
