waterid,demtarea,rchname,station_id,station_name,staid,huc2,standardResids,Resids,leverage,leverageCrit,CooksD,CooksDpvalue,weight,tiarea,residCheck
90564,487.2,BOIS BRULE R,163002,BOIS BRULE RIVER,2,4,-0.44368297045842,-0.252073178551086,0.0337482882771006,0.0211864406779661,0.00137510857174874,0.999999988235693,1,487.2,0.44368297045842
90253,791.93,CLINTON R,4161820,CLINTON RIVER AT STERLING HEIGHTS MI,14,4,-1.29156088796954,-0.729349339456771,0.0453944858887402,0.0211864406779661,0.015864958073198,0.999982517164135,1,791.93,1.29156088796954
90281,636.15,CHAGRIN R,4209000,Chagrin River at Willoughby OH,25,4,-0.647607224379178,-0.367618875212274,0.0353833483506905,0.0211864406779661,0.00307678775779506,0.999999868728162,1,636.15,0.647607224379178
91469,6077.05,ST LOUIS R,SL 500,ST. LOUIS RIVER AT COUNTY RD. 31,30,4,-0.312586687923464,-0.173688540762736,0.0757618398694573,0.0211864406779661,0.0016019080008341,0.999999981411488,1,6077.05,0.312586687923464
65146,3487.42,ONTONAGON R,4040000,ONTONAGON RIVER NEAR ROCKLAND MI,37,4,-0.111097149430091,-0.0633879009575864,0.0254829759774701,0.0211864406779661,6.45500438755733e-05,0.999999999998779,1,3487.42,0.111097149430091
65685,3777.68,MANISTIQUE R,4057005,MANISTIQUE RIVER AT MANISTIQUE MI,38,4,1.05433190507201,0.602764115375672,0.0215861279891943,0.0211864406779661,0.00490497546840918,0.999999470350065,1,3777.68,1.05433190507201
90052,664.39,REED CR,3167000,REED CREEK AT GRAHAMS FORGE VA,58,5,-0.315846356952981,-0.179916155873618,0.028660380918566,0.0211864406779661,0.000588698046587346,0.999999999075285,1,664.39,0.315846356952981
90646,196.83,FOX CR,9-FXC000.84,LOW WATER BRIDGE OFF RT 711APPROX .75 MI W. FOX,59,5,0.0318821813608656,0.018159123306237,0.0288725726671944,0.0211864406779661,6.04415112373178e-06,1,1,196.83,0.0318821813608656
90643,180.51,CROOKED CR,9-CRK003.00,Crooked Creek RT. 635 BRIDGE AT INTERSECTION WITH,60,5,-0.300050059697014,-0.170904530521009,0.0288143946919537,0.0211864406779661,0.000534225598943437,0.999999999308873,1,180.51,0.300050059697014
90053,798.17,LITTLE R,3170000,LITTLE RIVER AT GRAYSONTOWN VA,61,5,-0.698994704950941,-0.397755379033059,0.0306806735770546,0.0211864406779661,0.00309297055565212,0.999999866650815,1,798.17,0.698994704950941
90650,503.96,WOLF CR,9-WFC016.45,Wolf Creek at PRIVATELY OWNED LOW WATER BR OFF RT,63,5,-0.0833279736129938,-0.0476389440416298,0.0215804271740884,0.0211864406779661,3.06299679340846e-05,0.99999999999987,1,503.96,0.0833279736129938
90569,129.23,GAULEY R BRUSHY FK,1SUMW0004,MUDDLETY CREEK OF GAULEY RIVER,65,5,-0.840176588038985,-0.469400612576532,0.0656089422288887,0.0211864406779661,0.00991300919778861,0.999995677198499,1,129.23,0.840176588038985
90066,693.14,ELK R,3194700,ELK RIVER BELOW WEBSTER SPRINGS WV,66,5,1.07677695317767,0.614259506639693,0.0258299113942253,0.0211864406779661,0.00614850633016402,0.999998959689822,1,693.14,1.07677695317767
90892,332.57,GUYANDOTTE R CLEAR FK,1RDBW0015,Clear Fork of Guyandot River,72,5,0.00150650807593733,0.000861219390960955,0.0217109518162778,0.0211864406779661,1.00735975355925e-08,1,1,332.57,0.00150650807593733
90857,212.5,POND R,1JWFW0002,POUND RIVER                                   VA,74,5,0.582253248874908,0.317878117188977,0.107763586366871,0.0211864406779661,0.00818928394176094,0.999997553287989,1,212.5,0.582253248874908
90850,171.11,CRANESNEST R,1JWFW0003,CRANES NEST R OF POUND RIVER                  VA,75,5,0.804996014782506,0.454088227220298,0.0474768385657875,0.0211864406779661,0.00645986889077319,0.999998794357517,1,171.11,0.804996014782506
90930,748.94,LICKING R N FK,PRI060,NORTH FORK LICKING RIVER NEAR MILFORD,90,5,1.29702804805448,0.73597859527462,0.0361395669824812,0.0211864406779661,0.012615298268044,0.999991145113928,1,748.94,1.29702804805448
90915,669.89,HINKSTON CR,PRI102,HINKSTON CREEK AT RUDDLES MILLS,91,5,1.37510802637124,0.773192207916361,0.0535801864142556,0.0211864406779661,0.0214103627822214,0.999957565573775,1,669.89,1.37510802637124
90122,1400.48,KENTUCKY R MIDDLE FK,3281000,MIDDLE FORK KENTUCKY RIVER AT TALLEGA KY,92,5,-0.598887342223196,-0.34188426168963,0.0244478955844467,0.0211864406779661,0.00179767540206368,0.999999973741322,1,1400.48,0.598887342223196
90877,824.08,DIX R,3285000,DIX RIVER NEAR DANVILLE KY,95,5,1.33320396957108,0.756581336689701,0.0359477507308134,0.0211864406779661,0.0132554458876294,0.999989742444895,1,824.08,1.33320396957108
90697,251.88,S ELKHORN CR,PRI034,SOUTH ELKHORN CREEK NEAR MIDWAY,96,5,2.30918049028975,1.315708981824,0.028178640153626,0.0211864406779661,0.0309228380286583,0.999874873660731,1,251.88,2.30918049028975
