waterid,demtarea,rchname,station_id,station_name,staid,huc2,standardResids,Resids,leverage,leverageCrit,CooksD,CooksDpvalue,weight,tiarea,residCheck
65144,1159.37,NEMADJI R,4024430,NEMADJI RIVER NEAR SOUTH SUPERIOR WI,1,4,0.608541006387083,0.347943122467852,0.0214012473925295,0.0211864406779661,0.00161973557887805,0.99999998078472,1,1159.37,0.608541006387083
90564,487.2,BOIS BRULE R,163002,BOIS BRULE RIVER,2,4,-0.40227346586482,-0.228257069847473,0.0362296910290873,0.0211864406779661,0.00121664494978632,0.999999991849147,1,487.2,0.40227346586482
90253,791.93,CLINTON R,4161820,CLINTON RIVER AT STERLING HEIGHTS MI,14,4,-1.29749789944504,-0.735884869547103,0.0371153536579292,0.0211864406779661,0.0129784450874876,0.999990366119737,1,791.93,1.29749789944504
90281,636.15,CHAGRIN R,4209000,Chagrin River at Willoughby OH,25,4,-0.638086060475944,-0.361031846708856,0.0417025053098149,0.0211864406779661,0.00354364577982664,0.999999799658919,1,636.15,0.638086060475944
91469,6077.05,ST LOUIS R,SL 500,ST. LOUIS RIVER AT COUNTY RD. 31,30,4,-0.389095855683886,-0.216049800223185,0.0770835870489843,0.0211864406779661,0.00252896461358961,0.999999927012775,1,6077.05,0.389095855683886
65146,3487.42,ONTONAGON R,4040000,ONTONAGON RIVER NEAR ROCKLAND MI,37,4,-0.0773797709766008,-0.0440864864678403,0.0283184902269837,0.0211864406779661,3.49004504827879e-05,0.999999999999807,1,3487.42,0.0773797709766008
90011,1167.38,CONEMAUGH R,3040000,Stonycreek River at Ferndale PA,47,5,-0.197579195859949,-0.112952374449504,0.0216907848740203,0.0211864406779661,0.000173105770545173,0.999999999976467,1,1167.38,0.197579195859949
90052,664.39,REED CR,3167000,REED CREEK AT GRAHAMS FORGE VA,58,5,-0.32073585054303,-0.182183039723716,0.0341966289911134,0.0211864406779661,0.000728483279323847,0.999999998248334,1,664.39,0.32073585054303
90646,196.83,FOX CR,9-FXC000.84,LOW WATER BRIDGE OFF RT 711APPROX .75 MI W. FOX,59,5,0.0420635954074038,0.0239841660308464,0.0267950652385354,0.0211864406779661,9.74301329067816e-06,0.999999999999996,1,196.83,0.0420635954074038
90643,180.51,CROOKED CR,9-CRK003.00,Crooked Creek RT. 635 BRIDGE AT INTERSECTION WITH,60,5,-0.303056894995191,-0.172096623416516,0.0346957866974518,0.0211864406779661,0.000660223337549932,0.999999998695835,1,180.51,0.303056894995191
90053,798.17,LITTLE R,3170000,LITTLE RIVER AT GRAYSONTOWN VA,61,5,-0.70291352142833,-0.398975128483743,0.0356033506065195,0.0211864406779661,0.00364811877063042,0.99999978146394,1,798.17,0.70291352142833
90650,503.96,WOLF CR,9-WFC016.45,Wolf Creek at PRIVATELY OWNED LOW WATER BR OFF RT,63,5,-0.073553503361418,-0.0420065435289345,0.0236736505523543,0.0211864406779661,2.62365631450856e-05,0.999999999999918,1,503.96,0.073553503361418
90569,129.23,GAULEY R BRUSHY FK,1SUMW0004,MUDDLETY CREEK OF GAULEY RIVER,65,5,-0.913063693574056,-0.50981160805993,0.066777646528804,0.0211864406779661,0.0119310350082673,0.999992497641734,1,129.23,0.913063693574056
90066,693.14,ELK R,3194700,ELK RIVER BELOW WEBSTER SPRINGS WV,66,5,1.07859660096588,0.615235115465376,0.0260605044605963,0.0211864406779661,0.00622585398151454,0.999998920122196,1,693.14,1.07859660096588
90857,212.5,POND R,1JWFW0002,POUND RIVER                                   VA,74,5,0.488377038905702,0.267337193116711,0.10303368310455,0.0211864406779661,0.00547953317211768,0.999999262531757,1,212.5,0.488377038905702
90850,171.11,CRANESNEST R,1JWFW0003,CRANES NEST R OF POUND RIVER                  VA,75,5,0.744181295430638,0.419457451768638,0.0489876218115445,0.0211864406779661,0.00570542081946072,0.999999167942626,1,171.11,0.744181295430638
90930,748.94,LICKING R N FK,PRI060,NORTH FORK LICKING RIVER NEAR MILFORD,90,5,1.28562380091809,0.732131473082237,0.0292258859707242,0.0211864406779661,0.00995192975424088,0.999995626467321,1,748.94,1.28562380091809
90915,669.89,HINKSTON CR,PRI102,HINKSTON CREEK AT RUDDLES MILLS,91,5,1.36082656622274,0.764840881927592,0.0544065164763382,0.0211864406779661,0.0213099290134572,0.999958150438989,1,669.89,1.36082656622274
90877,824.08,DIX R,3285000,DIX RIVER NEAR DANVILLE KY,95,5,1.32043983283879,0.752539664936771,0.0277243728373581,0.0211864406779661,0.0099435064792907,0.999995637479894,1,824.08,1.32043983283879
90697,251.88,S ELKHORN CR,PRI034,SOUTH ELKHORN CREEK NEAR MIDWAY,96,5,2.30956680221674,1.31409917957791,0.0309123184454294,0.0211864406779661,0.0340298126357784,0.999834406501524,1,251.88,2.30956680221674
90129,1133.83,EAGLE CR,3291500,EAGLE CREEK AT GLENCOE KY,98,5,0.630006966267595,0.357890252756976,0.0340005502855149,0.0211864406779661,0.00279402164332359,0.999999901633598,1,1133.83,0.630006966267595
90698,466.48,SALT R,PRI052,SALT RIVER NEAR GLENSBORO,132,5,1.61181176868595,0.918430680134025,0.0280767699671681,0.0211864406779661,0.0150097625558879,0.999985166033516,1,466.48,1.61181176868595
90899,669.35,BRASHEARS CR,PRI105,BRASHEARS CREEK AT TAYLORSVILLE,137,5,2.29151014026496,1.30654686534821,0.0268623859881299,0.0211864406779661,0.0289897111642658,0.999896452794106,1,669.35,2.29151014026496
90138,4775.52,BARREN R,3314500,BARREN RIVER AT BOWLING GREEN KY,139,5,0.325559690789802,0.186104187988498,0.0218197732421655,0.0211864406779661,0.00047284914017797,0.999999999520695,1,4775.52,0.325559690789802
