,point,ndep,MANC_N,FARM_N,Fixation,ldrainden,PPT30MEAN,meanTemp,tiles_perc,soil_CLAYAVE,rchdecay1,rchdecay2,iresload
point,1,-0.101213409398657,-0.0361879052108088,0.0528979058204301,-0.0477159244175974,0.110447904157278,0.0581087139199137,-0.113940632031312,0.058821090216224,0.0231368482925871,-0.0364897003729677,0.0533120787968864,0.0305260288041414
ndep,-0.101213409398657,1,0.0488165569455197,-0.0700483290101952,-0.0308366339798114,0.330511296690996,-0.585968941697012,0.365092104498204,0.2153265828153,-0.0157859107415067,0.184407970357952,0.270004197419667,0.201937874800329
MANC_N,-0.0361879052108088,0.0488165569455197,1,-0.193739255519512,-0.0502074878767363,0.0728067128304583,-0.275071942175289,0.341876226429014,0.071691672251011,-0.103521662887298,-0.0623855531142457,0.0668132827465167,-0.0948823184133163
FARM_N,0.0528979058204301,-0.0700483290101952,-0.193739255519512,1,-0.891477690996371,0.143932062277918,-0.0994022685633007,-0.252994377983373,0.0715806846748799,-0.268352755322373,0.0129867972227983,0.12594790219525,0.0346783088060229
Fixation,-0.0477159244175974,-0.0308366339798114,-0.0502074878767363,-0.891477690996371,1,0.0301800550341341,0.247339033155894,0.112845466635074,-0.281611304529305,0.209732303722185,0.104293752085383,-0.0309927283692007,0.0435089300879699
ldrainden,0.110447904157278,0.330511296690996,0.0728067128304583,0.143932062277918,0.0301800550341341,1,-0.152741935509892,-0.0406881206776632,0.0233237122406212,-0.0594269815484729,0.147564008157801,0.220367978670844,-0.0486896427009996
PPT30MEAN,0.0581087139199137,-0.585968941697012,-0.275071942175289,-0.0994022685633007,0.247339033155894,-0.152741935509892,1,-0.772700711887029,-0.0832351847863814,0.283267168565132,-0.125066111000274,-0.196664094555705,-0.119025295260082
meanTemp,-0.113940632031312,0.365092104498204,0.341876226429014,-0.252994377983373,0.112845466635074,-0.0406881206776632,-0.772700711887029,1,-0.0411415015066038,-0.428536731995901,-0.00413964355532233,0.0881120808825754,-0.00359649732080622
tiles_perc,0.058821090216224,0.2153265828153,0.071691672251011,0.0715806846748799,-0.281611304529305,0.0233237122406212,-0.0832351847863814,-0.0411415015066038,1,-0.0530539071335497,-0.128599654507029,-0.0117774739079934,-0.101076166067915
soil_CLAYAVE,0.0231368482925871,-0.0157859107415067,-0.103521662887298,-0.268352755322373,0.209732303722185,-0.0594269815484729,0.283267168565132,-0.428536731995901,-0.0530539071335497,1,0.060413650351906,-0.12572096043567,-0.0608793994796794
rchdecay1,-0.0364897003729677,0.184407970357952,-0.0623855531142457,0.0129867972227983,0.104293752085383,0.147564008157801,-0.125066111000274,-0.00413964355532233,-0.128599654507029,0.060413650351906,1,0.0386990676523752,0.0940021554190186
rchdecay2,0.0533120787968864,0.270004197419667,0.0668132827465167,0.12594790219525,-0.0309927283692007,0.220367978670844,-0.196664094555705,0.0881120808825754,-0.0117774739079934,-0.12572096043567,0.0386990676523752,1,0.101711432597037
iresload,0.0305260288041414,0.201937874800329,-0.0948823184133163,0.0346783088060229,0.0435089300879699,-0.0486896427009996,-0.119025295260082,-0.00359649732080622,-0.101076166067915,-0.0608793994796794,0.0940021554190186,0.101711432597037,1
