,point,ndep,MANC_N,FARM_N,Fixation,ldrainden,PPT30MEAN,meanTemp,tiles_perc,soil_CLAYAVE,rchdecay1,rchdecay2,iresload
point,0.0123152864774534,-0.000435736858984724,-0.000242397213987793,0.000285852884664876,-0.0205364589670436,0.00071180250817507,1.87519142114728e-06,-0.00027670172754167,0.000835341449345021,1.08430082604149e-05,-0.000372092599073995,0.000535266939031339,0.00564441154531167
ndep,-0.000435736858984547,0.00150497043818644,0.000114307058811152,-0.000132325518721555,-0.00463949713515672,0.000744612063637255,-6.61029234146128e-06,0.00030993984578947,0.00106898185949049,-2.58616933442911e-06,0.000657358295474655,0.000947669805486814,0.0130529257765263
MANC_N,-0.000242397213987748,0.000114307058811163,0.00364320694262163,-0.000569431368646641,-0.0117530442936141,0.000255207315505057,-4.82803376563764e-06,0.000451566597016711,0.000553757133098286,-2.63873933024411e-05,-0.000346006634036395,0.000364860857189402,-0.00954230537486386
FARM_N,0.000285852884664758,-0.000132325518721545,-0.000569431368646658,0.00237117540450373,-0.168357427328316,0.000407023199861876,-1.40753830035728e-06,-0.000269589950020651,0.000446052924688486,-5.51837525768966e-05,5.81088626960045e-05,0.000554875209654985,0.00281362265875209
Fixation,-0.0205364589670446,-0.00463949713515832,-0.0117530442936135,-0.168357427328315,15.041111155138,0.0067973520433891,0.000278942509458754,0.00957712297796143,-0.139765102448911,0.0034350148417084,0.037166933246347,-0.0108748259156613,0.281154129482418
ldrainden,0.000711802508175093,0.000744612063637229,0.000255207315505014,0.000407023199861917,0.00679735204338703,0.00337255895949611,-2.57940863538771e-06,-5.17080777707447e-05,0.000173334955149539,-1.45742688801077e-05,0.000787442215128059,0.00115784601869882,-0.00471131850528812
PPT30MEAN,1.87519142114709e-06,-6.61029234146137e-06,-4.8280337656376e-06,-1.40753830035714e-06,0.000278942509458733,-2.57940863538809e-06,8.45598431883429e-08,-4.91704727496646e-06,-3.09740314441799e-06,3.47857728149501e-07,-3.34179808024922e-06,-5.17403907876302e-06,-5.7669668417623e-05
meanTemp,-0.000276701727541577,0.000309939845789477,0.000451566597016713,-0.000269589950020654,0.00957712297796237,-5.17080777707066e-05,-4.91704727496647e-06,0.000478874789434761,-0.00011521256012872,-3.96024788466403e-05,-8.32400648820394e-06,0.000174449202321902,-0.000131134459499132
tiles_perc,0.000835341449344776,0.00106898185949052,0.000553757133098293,0.000446052924688505,-0.139765102448913,0.000173334955149525,-3.09740314441831e-06,-0.000115212560128705,0.0163763610562427,-2.86714333955622e-05,-0.0015121921510224,-0.000136358870857333,-0.0215518008415275
soil_CLAYAVE,1.08430082604122e-05,-2.58616933442989e-06,-2.63873933024406e-05,-5.51837525768973e-05,0.00343501484170841,-1.45742688801097e-05,3.47857728149505e-07,-3.96024788466402e-05,-2.8671433395561e-05,1.78339136931661e-05,2.34431994965005e-05,-4.80345319783753e-05,-0.000428370734088018
rchdecay1,-0.000372092599073961,0.000657358295474645,-0.000346006634036411,5.81088626959717e-05,0.0371669332463504,0.000787442215128071,-3.341798080249e-06,-8.32400648821512e-06,-0.00151219215102243,2.34431994965021e-05,0.00844339196015233,0.0003217225634546,0.0143920410670269
rchdecay2,0.000535266939031323,0.000947669805486785,0.00036486085718937,0.000554875209654996,-0.010874825915661,0.00115784601869882,-5.17403907876257e-06,0.000174449202321866,-0.000136358870857341,-4.80345319783727e-05,0.000321722563454591,0.00818549761471003,0.0153326921826914
iresload,0.00564441154531294,0.0130529257765261,-0.00954230537486376,0.0028136226587518,0.281154129482443,-0.00471131850528818,-5.76696684176213e-05,-0.000131134459499177,-0.0215518008415277,-0.000428370734088013,0.0143920410670267,0.0153326921826915,2.77620930072379
